Name,URL
"eL&FoNt(?rBAN CallIgRAPhy!""","""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/ac/ac5a/ac5af6712483e967f6889861669fc3d2/font.ttf"""
#44 Font Condensed,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/3f/3fea/3feac5c475248dbd250371fd8b3096ff/font.ttf"""
#44 Font Expanded,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/57/5771/5771a5cda3af49cf91ab5c027437d986/font.ttf"""
#44 Font Italic,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/2e/2e66/2e66f46579ef6963b5c42cd380d309d3/font.ttf"""
#44 Font Shadow,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/12/1271/127127d248a3cc1850db88aee012503e/font.ttf"""
#44 Font,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/77/77db/77db7d175e71d05c83c48885f1a95976/font.ttf"""
28 Days Later,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/01/0150/01503947da3a85afad9790e5e2fce995/font.ttf"""
A Charming Font Expanded,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/d0/d05e/d05ef250c25b1a85ff96dcdcc0460ac5/font.ttf"""
A Charming Font Italic,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/59/5992/59920a9b3e651da17480cd23b4c43841/font.ttf"""
A Charming Font Leftleaning,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/62/624b/624b6e74671559ba348561c34232ea0b/font.ttf"""
A Charming Font Outline,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/79/7925/7925a5212f82b1be5b8486c57c9992c8/font.ttf"""
A Charming Font Outline,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/ac/ac7e/ac7e242cbab848249d884a0727377aa7/font.ttf"""
A Charming Font Superexpanded,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/6a/6a10/6a1049e0b9b4193482a54989f0ec8254/font.ttf"""
A Charming Font,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/c0/c035/c0355bcbebfbf5fb3709e1c2b544e9de/font.ttf"""
A Red Bucket,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/40/40e6/40e670f1ee1afd4c744b63c1ed1a4b7f/font.ttf"""
A Yummy Apology,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/45/4560/45609ef5f5902008b2d80e4eca84fede/font.ttf"""
ALPINE Regular,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/a3/a313/a313152c685b043fab291998f394999c/font.ttf"""
ALS Script,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/e0/e099/e099737d8fc83c91bebcf645389e211f/font.ttf"""
ANVIL,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/61/6180/618014f74b27b24c21e94194c7baa7f7/font.ttf"""
Abaddon™,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/76/767d/767d69aa08e35ae8e67cd212c1d2e49d/font.ttf"""
"Action Is, Wider JL","""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/2d/2ddd/2dddaaefe8c507690575dbb68483a6f1/font.ttf"""
"Action Is, Wider JL","""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/9c/9c60/9c605dc12c1d9265a0a49b003179179e/font.ttf"""
Adventure Normal,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/08/087a/087a6aacc77d1417d6068087a4ee7b99/font.ttf"""
Afterlife,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/46/4689/468937439892c552bbf8951023b8472e/font.ttf"""
Aftermath BRK,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/90/901c/901c31178a6f52dfae4b65a6f688e512/font.ttf"""
Airplanes in the Night Sky,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/c2/c2a4/c2a40451e79199473724cf7af0bd53ee/font.ttf"""
Akbar Plain,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/19/19c9/19c91cd20f921792a8a76d9ec7d0ad2d/font.ttf"""
Alan Den,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/48/48d4/48d46635a6e38dcae97b1fe209c4f07b/font.ttf"""
Alcohole,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/ad/adba/adbac9419c813553b368ab96cad88ef7/font.ttf"""
Alertse,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/86/861c/861c4d89c0592f3958e6066c8236750c/font.ttf"""
Alex's Writing Regular,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/fd/fd2f/fd2fd64531b6e934be9d2d339bedcad1/font.ttf"""
Alice in Wonderland,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/bd/bd98/bd9854838c01df28d837da7fa2240dcd/font.ttf"""
Aliens ate my mum,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/30/3045/30451dea83e8de6be94151457d3fc3d8/font.ttf"""
Aligot de Mirabelle,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/5f/5f33/5f3333229678147b25c83395934b79e0/font.ttf"""
